region,year,election,Votants,socialcontribution,grosssalary,Total,Metric
Auvergne-Rhône-Alpes,2002,legislative,570620.6282051282,1611.0,16411.0,7115944,Salary
Auvergne-Rhône-Alpes,2002,presidential,702293.1972222222,1611.0,16411.0,7115944,Salary
Auvergne-Rhône-Alpes,2004,cantonales,72414.78669011511,1734.0,17344.0,7231833,Salary
Auvergne-Rhône-Alpes,2007,legislative,580283.5549806076,1928.0,19295.0,7405206,Salary
Auvergne-Rhône-Alpes,2007,presidential,1051058.151190476,1928.0,19295.0,7405206,Salary
Auvergne-Rhône-Alpes,2008,cantonales,73896.61661955761,1960.0,19746.0,7459092,Salary
Auvergne-Rhône-Alpes,2011,cantonales,53913.398721807345,1998.0,20370.0,7634223,Salary
Auvergne-Rhône-Alpes,2012,legislative,575682.6876984128,2086.0,20448.0,7695264,Salary
Auvergne-Rhône-Alpes,2012,presidential,809061.4547619048,2086.0,20448.0,7695264,Salary
Bourgogne-Franche-Comté,2002,legislative,320118.4484848485,1497.0,15911.0,2749892,Salary
Bourgogne-Franche-Comté,2002,presidential,388775.18333333335,1497.0,15911.0,2749892,Salary
Bourgogne-Franche-Comté,2004,cantonales,35075.86269148103,1623.0,16928.0,2762934,Salary
Bourgogne-Franche-Comté,2007,legislative,319043.6611111111,1716.0,18764.0,2792562,Salary
Bourgogne-Franche-Comté,2007,presidential,608651.7166666667,1716.0,18764.0,2792562,Salary
Bourgogne-Franche-Comté,2008,cantonales,37766.78253001479,1723.0,18988.0,2802519,Salary
Bourgogne-Franche-Comté,2011,cantonales,26686.111353918935,1754.0,19823.0,2816174,Salary
Bourgogne-Franche-Comté,2012,legislative,356159.31666666665,1824.0,19695.0,2816814,Salary
Bourgogne-Franche-Comté,2012,presidential,484147.6166666667,1824.0,19695.0,2816814,Salary
Bretagne,2002,legislative,224740.8060606061,1437.0,15161.0,2981765,Salary
Bretagne,2002,presidential,266506.79821428575,1437.0,15161.0,2981765,Salary
Bretagne,2004,cantonales,30730.02920148161,1549.0,16006.0,3037077,Salary
Bretagne,2007,legislative,231167.16378205127,1724.0,18088.0,3120288,Salary
Bretagne,2007,presidential,474958.00952380954,1724.0,18088.0,3120288,Salary
